ability,khả năng
rich,giàu
right,bên phải/thích hợp/hợp đạo đức/chính xác
ring,chiếc nhẫn
river,dòng sông
roar,tiếng gầm rú
rock,đá
safe,an toàn
same,giống 
save,cứu/lưu
say,nói
shape,hình dạng
school,trường học
science,khoa học
scientist,nhà khoa học
score,điểm số
sea,biển
somebody,một vài người
something,một vài điều
sometimes,thỉnh thoảng
speak,nói
special,đặc biệc
spend,chi
star,ngôi sao
start,bắt đầu
stay,ở
step,bước
still,vẫn
they,họ
thing,điều
think,suy nghĩ
thousand,nghìn
thunder,sấm/tiếng vó ngựa
threat,đe dọa
three,ba
time,thời gian
today,hôm nay
together,cùng nhau
tonight,tối nay
total,tổng cộng
true,đúng
try,thử
uncle,chú
under,dưới
understand,hiểu
union,sự kết hợp/sự hợp nhất/hiệp hội
until,cho tới khi
up,lên
use,dùng
usually,thường xuyên
utilize,sử dụng/tận dụng
utopia,xã hội không tưởng
utter,thốt ra/phát ra
value,giá trị
various,đa dạng
very,rất
victim,nạn nhân
view,tầm nhìn
vine,cây nho/cây leo
violence,bạo lực
villain,phản diện
villainy,hành vi côn đồ
visit,thăm
voice,giọng
wait,chờ đợi
walk,đi
wall,bức tường
want,muốn
war,chiến tranh
water,nước
we,chúng tôi
weapon,vũ khí
wear,mang/mặc/đội
week,tuần
weight,cân nặng
well,tốt
word,từ
work,làm
worker,công nhân
world,thế giới
worry,lo lắng
write,viết
wrong,sai
yard,sân
yawn,ngáp
year,năm
yell,kêu la
yellow,màu vàng
yes,có
yesterday,ngày hôm qua
yet,chưa/thậm chí/tuy nhiên
young,trẻ/trẻ tuổi/thiếu niên/thanh niên
your,của anh/của chị/của ngài
youth,tuổi trẻ
